dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
cc2,lightgbm,0.05,0.8572041129910188,0.6766407043495571,0.3352383992432814,0.10110798000319932,0.4589041095890411,0.5683987274655355
cc2,lightgbm,0.2,0.8125683939263358,0.5984391030277637,0.3770550294954061,0.11469633869058964,0.4092465753424658,0.5167567567567568
cc2,lightgbm,0.5,0.7334756021500499,0.467868557264628,0.43467417758957816,0.13619279939213752,0.2808219178082192,0.38273045507584597
cc2,logreg,0.0,0.7741051381202939,0.45986840299026294,0.41535855054905685,0.1310833395579234,0.1917808219178082,0.28426395939086296
cc2,logreg,0.05,0.7666562244851675,0.45097610379664504,0.41926095908376754,0.1323659232539309,0.1815068493150685,0.27640156453715775
cc2,logreg,0.2,0.7429323913635125,0.4085199020779076,0.43416993850935764,0.13748081323610525,0.1232876712328767,0.1986206896551724
cc2,logreg,0.5,0.6955268954685656,0.3537285055303235,0.4603655525268144,0.14627213695851146,0.046232876712328765,0.08346213292117466
cc3,xgboost,0.0,0.8627344708375154,0.70012368926523,0.4028376340866089,0.1315540075302124,0.5731292517006803,0.6223453370267775
cc3,xgboost,0.05,0.8416538418646147,0.6679098915659213,0.4323330819606781,0.14063695073127747,0.5085034013605442,0.5822784810126582
cc3,xgboost,0.2,0.7855681944909111,0.5808319063307676,0.5362173914909363,0.17030255496501923,0.3231292517006803,0.4308390022675737
cc3,xgboost,0.5,0.6849977695996432,0.45318559673778125,0.7925033569335938,0.22181560099124908,0.08163265306122448,0.14328358208955225
cc3,lightgbm,0.0,0.86689193710271,0.709548133556992,0.3976134482603247,0.12938518481878117,0.5867346938775511,0.6330275229357798
cc3,lightgbm,0.05,0.8566220586595293,0.6941498197168149,0.41280120518461894,0.13461872132537936,0.5,0.584493041749503
cc3,lightgbm,0.2,0.8169331995093119,0.6173593934821823,0.4943608745066976,0.1611471690813292,0.26360544217687076,0.38413878562577447
cc3,lightgbm,0.5,0.7240983606557377,0.490942936672647,0.7365764596864267,0.21681379225084063,0.0391156462585034,0.07407407407407407
cc3,logreg,0.0,0.8566677818668451,0.685722510726293,0.4121067045989492,0.13391820469298069,0.6020408163265306,0.6366906474820144
cc3,logreg,0.05,0.8534571205531392,0.6790634280574084,0.41586522364665496,0.13545112599101458,0.5918367346938775,0.6298642533936651
cc3,logreg,0.2,0.8371824467491916,0.6476644781547424,0.43518561178139137,0.1427718668293582,0.5561224489795918,0.5945454545454546
cc3,logreg,0.5,0.7884727333556374,0.5788917389610211,0.486722203741177,0.1613367717998604,0.4557823129251701,0.5090218423551757
