dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
cd2,lightgbm,0.5,0.6435077255333952,0.35536564606138893,0.5915809951248777,0.20337674073089002,0.488265306122449,0.38635446104158255
cd2,logreg,0.0,0.7616325081168832,0.5212060320917691,0.4397099704081739,0.1376477412106077,0.33877551020408164,0.44623655913978494
cd2,logreg,0.05,0.7572867144016696,0.5133062641232163,0.44306836447815795,0.13890025184414317,0.3173469387755102,0.428079834824501
cd2,logreg,0.2,0.7420311775278293,0.4975267138676675,0.4532618685476281,0.14285567504737068,0.2586734693877551,0.37486136783733826
cd2,logreg,0.5,0.6923981041280148,0.44271207909245713,0.4862988935707205,0.15471475291364012,0.15051020408163265,0.24758707511540076
ld1,tabfm,0.0,0.9983976850135718,0.9845852213859072,0.053086690878691646,0.01581144311097884,1.0,0.91
ld1,tabfm,0.05,0.9853041409080582,0.9014079606223658,0.4345792054370463,0.136043991876728,1.0,0.5083798882681564
ld1,tabfm,0.2,0.9155914814239079,0.6491786553157306,1.521253286229445,0.4500587590820646,1.0,0.24795640326975477
ld1,tabfm,0.5,0.7464157170359564,0.3900895482350987,2.577731108145483,0.7592449945217273,1.0,0.17057169634489222
ld1,sap_rpt,0.0,0.9801623838620575,0.8812717385722012,0.10455974270452986,0.030714860379662305,0.6043956043956044,0.7534246575342466
ld1,sap_rpt,0.05,0.9526838776022672,0.8021005976598512,0.13370145293889776,0.036590773068023094,0.5824175824175825,0.7114093959731543
ld1,sap_rpt,0.2,0.8561384208827081,0.6406788112978951,0.2528356489356264,0.0706065355375602,0.5494505494505495,0.5813953488372093
ld1,sap_rpt,0.5,0.7249638283370601,0.4516161446593271,0.5305312887152959,0.17840584128109777,0.5824175824175825,0.2676767676767677
ld1,xgboost,0.0,0.9143120209496707,0.7688273019906547,0.1588946211748589,0.04010990489763454,0.4835164835164835,0.6470588235294118
ld1,xgboost,0.05,0.8413588587690872,0.35240984124896935,0.40199388453675144,0.110150471089073,0.5274725274725275,0.4155844155844156
ld1,xgboost,0.2,0.7174425139604681,0.2257007249420097,1.139107035852411,0.307789811963476,0.7142857142857143,0.25948103792415167
ld1,xgboost,0.5,0.6257877052218728,0.14965720968258317,2.560099894387546,0.6078186426955559,0.8351648351648352,0.18030842230130487
ld1,lightgbm,0.0,0.9187482810986619,0.7840082770668066,0.20991305997900372,0.04134876360467794,0.5054945054945055,0.6618705035971223
ld1,lightgbm,0.05,0.9049851128197155,0.7403689533054155,0.23084822401462055,0.04480235047235953,0.4835164835164835,0.6423357664233577
ld1,lightgbm,0.2,0.8350811321431559,0.6352616464252245,0.31094424419132594,0.05149356078258229,0.42857142857142855,0.5909090909090909
ld1,lightgbm,0.5,0.7334656638247499,0.4156336026534601,0.49464146435201295,0.07078153537573798,0.21978021978021978,0.3418803418803419
ld1,logreg,0.0,0.8101615468318406,0.52238393883262,0.22267033666421512,0.059021212468572906,0.25274725274725274,0.39316239316239315
ld1,logreg,0.05,0.7984909540948715,0.5059714885357948,0.22697903891947901,0.060028702953478875,0.24175824175824176,0.3826086956521739
ld1,logreg,0.2,0.7701036721711367,0.49278390424360075,0.23607011833799324,0.061043101188220435,0.23076923076923078,0.375
ld1,logreg,0.5,0.7157684535268866,0.39096281423458024,0.2579248918139701,0.06800859947863343,0.14285714285714285,0.25
ld2,sap_rpt,0.0,0.9068071743577761,0.8423869528779668,0.26140747893194477,0.07340629850549016,0.6611614278103356,0.7669962917181706
ld2,sap_rpt,0.05,0.8894290369250214,0.812041104753702,0.2886607985561835,0.08324684862505158,0.637187000532765,0.7321701867156413
ld2,sap_rpt,0.2,0.8401428746542283,0.7199467354585597,0.3644385195388035,0.11041620679422388,0.5498135322322856,0.6275463666768014
ld2,sap_rpt,0.5,0.7455549027674031,0.5483064250952776,0.46995317207427695,0.14867700854975824,0.3537559936068194,0.4552622557422009
ld2,xgboost,0.0,0.9450499065578498,0.8991823879638313,0.1968633502166649,0.05497494017889434,0.715503462972829,0.8226646248085758
ld2,xgboost,0.05,0.8998019684934729,0.7519885623813288,0.3889045226262363,0.09989469897546133,0.7362812999467235,0.729287598944591
